entry_time,exit_time,signal,entry,exit,pnl,reason,bars_held
2025-01-13 09:15:00,2025-01-13 10:00:00,SELL,1.01866,1.0203699999999998,-99.17999999999293,Stop Loss,3
2025-01-13 09:30:00,2025-01-13 10:15:00,SELL,1.0195,1.020522857142857,-55.234285714277576,Stop Loss,3
2025-01-13 10:30:00,2025-01-13 12:45:00,SELL,1.01981,1.0201414285714288,-16.902857142861105,Stop Loss,9
2025-01-13 11:00:00,2025-01-13 12:45:00,SELL,1.01948,1.0201335714285715,-33.33214285715091,Stop Loss,7
2025-01-13 11:15:00,2025-01-13 12:45:00,SELL,1.01903,1.020122142857143,-55.69928571428662,Stop Loss,6
2025-01-13 12:00:00,2025-01-13 12:45:00,SELL,1.01943,1.0200578571428571,-33.90428571428173,Stop Loss,3
2025-01-13 12:15:00,2025-01-13 12:45:00,SELL,1.01886,1.0205792857142857,-91.12214285713627,Stop Loss,2
2025-01-13 12:30:00,2025-01-13 13:15:00,SELL,1.01938,1.0211960714285713,-94.43571428570864,Stop Loss,3
2025-01-13 13:45:00,2025-01-13 16:30:00,SELL,1.0208,1.0206407142857143,10.353571428562969,Stop Loss,11
2025-01-13 14:00:00,2025-01-13 16:30:00,SELL,1.02059,1.0206421428571428,-3.389285714276991,Stop Loss,10
2025-01-13 14:30:00,2025-01-13 16:15:00,SELL,1.02041,1.0206378571428572,-14.810714285712345,Stop Loss,7
2025-01-13 15:00:00,2025-01-13 16:15:00,SELL,1.0201500000000001,1.0206057142857143,-30.532857142853146,Stop Loss,5
2025-01-13 15:15:00,2025-01-13 16:15:00,SELL,1.0201,1.0206250000000001,-34.65000000000718,Stop Loss,4
2025-01-13 15:30:00,2025-01-13 16:15:00,SELL,1.01968,1.0206250000000001,-61.425000000012716,Stop Loss,3
2025-01-13 18:30:00,2025-01-13 19:45:00,BUY,1.02178,1.0208707142857143,-78.19857142856267,Stop Loss,5
2025-01-13 18:45:00,2025-01-13 19:45:00,BUY,1.02159,1.0206964285714286,-77.74071428571028,Stop Loss,4
2025-01-13 20:00:00,2025-01-13 21:30:00,BUY,1.02125,1.0226285714285712,153.02142857140646,Take Profit,6
2025-01-13 20:15:00,2025-01-13 21:30:00,BUY,1.02125,1.0225196428571428,154.8964285714236,Take Profit,5
2025-01-13 20:45:00,2025-01-13 21:30:00,BUY,1.02162,1.0228717857142855,157.72499999997615,Take Profit,3
2025-01-13 21:45:00,2025-01-13 23:00:00,BUY,1.02409,1.0255489285714283,160.4821428571213,Take Profit,5
2025-01-13 22:00:00,2025-01-13 22:45:00,BUY,1.02393,1.0254371428571427,162.77142857141237,Take Profit,3
2025-01-13 22:15:00,2025-01-13 22:45:00,BUY,1.02397,1.02542,165.29999999999444,Take Profit,2
2025-01-13 22:30:00,2025-01-13 23:00:00,BUY,1.02421,1.0256296428571428,168.93749999997996,Take Profit,2
2025-01-13 22:45:00,2025-01-13 23:30:00,BUY,1.02544,1.0270274999999998,171.44999999998413,Take Profit,3
2025-01-13 23:15:00,2025-01-14 00:00:00,BUY,1.02683,1.0262014285714285,-59.085714285713735,Stop Loss,3
2025-01-13 23:30:00,2025-01-14 00:00:00,BUY,1.02694,1.0257989285714286,-103.8374999999918,Stop Loss,2
2025-01-14 03:00:00,2025-01-14 04:15:00,BUY,1.02518,1.024507857142857,-66.54214285715798,Stop Loss,5
2025-01-14 03:15:00,2025-01-14 04:00:00,BUY,1.0252,1.0245214285714286,-72.60714285712977,Stop Loss,3
2025-01-14 03:30:00,2025-01-14 05:00:00,BUY,1.02516,1.02461,-65.450000000006,Stop Loss,6
2025-01-14 04:15:00,2025-01-14 05:00:00,BUY,1.02493,1.0246135714285716,-37.654999999971125,Stop Loss,3
2025-01-14 04:30:00,2025-01-14 05:15:00,BUY,1.02518,1.0244071428571428,-90.4242857142843,Stop Loss,3
2025-01-14 04:45:00,2025-01-14 05:45:00,BUY,1.02498,1.0242985714285715,-80.40857142856294,Stop Loss,4
2025-01-14 05:30:00,2025-01-14 07:00:00,BUY,1.02486,1.0261742857142857,164.28571428570015,Take Profit,6
2025-01-14 05:45:00,2025-01-14 07:00:00,BUY,1.02446,1.0258314285714285,167.31428571428663,Take Profit,5
2025-01-14 06:00:00,2025-01-14 07:00:00,BUY,1.02478,1.026112142857143,170.51428571429028,Take Profit,4
2025-01-14 06:15:00,2025-01-14 07:00:00,BUY,1.02475,1.0260625,173.2500000000066,Take Profit,3
2025-01-14 06:45:00,2025-01-14 07:00:00,BUY,1.02521,1.0265064285714285,175.0178571428518,Take Profit,1
2025-01-14 07:00:00,2025-01-14 07:30:00,BUY,1.02557,1.0251742857142858,-47.48571428571324,Stop Loss,2
2025-01-14 07:15:00,2025-01-14 08:15:00,BUY,1.02577,1.0273075,178.34999999999644,Take Profit,4
2025-01-14 08:00:00,2025-01-14 08:30:00,BUY,1.02605,1.0259,-14.999999999987246,Stop Loss,2
2025-01-14 08:15:00,2025-01-14 08:45:00,BUY,1.02662,1.0260607142857143,-50.33571428571859,Stop Loss,2
2025-01-14 11:00:00,2025-01-14 12:00:00,BUY,1.02579,1.0249521428571429,-65.35285714285477,Stop Loss,4
2025-01-14 13:15:00,2025-01-14 13:30:00,BUY,1.02429,1.0262971428571428,178.63571428571578,Take Profit,1
2025-01-14 13:30:00,2025-01-14 14:45:00,BUY,1.0253,1.025827857142857,39.58928571426434,Stop Loss,5
2025-01-14 14:00:00,2025-01-14 14:15:00,SELL,1.02508,1.0266325,-108.67500000000473,Stop Loss,1
2025-01-14 14:15:00,2025-01-14 15:45:00,BUY,1.02645,1.029276785714286,180.91428571429446,Take Profit,6
2025-01-14 14:30:00,2025-01-14 16:00:00,BUY,1.0268,1.0297285714285715,184.50000000001165,Take Profit,6
2025-01-14 15:00:00,2025-01-14 16:15:00,BUY,1.02741,1.028587857142857,68.31571428571293,Stop Loss,5
2025-01-14 15:30:00,2025-01-14 16:30:00,BUY,1.02888,1.0284771428571429,-21.35142857142891,Stop Loss,4
2025-01-14 15:45:00,2025-01-14 16:30:00,BUY,1.02943,1.0284971428571428,-50.3742857142937,Stop Loss,3
2025-01-14 16:00:00,2025-01-15 05:45:00,BUY,1.02988,1.029297857142857,-30.271428571428952,Stop Loss,55
2025-01-14 17:30:00,2025-01-15 02:45:00,BUY,1.02861,1.029492857142857,52.97142857141778,Stop Loss,37
2025-01-14 17:45:00,2025-01-15 02:45:00,BUY,1.02877,1.0295935714285713,54.35571428571029,Stop Loss,36
2025-01-14 18:00:00,2025-01-15 02:30:00,BUY,1.02884,1.0296578571428572,57.250000000004235,Stop Loss,34
2025-01-14 18:15:00,2025-01-15 02:30:00,BUY,1.02934,1.0297035714285714,26.904285714288264,Stop Loss,33
2025-01-14 18:30:00,2025-01-15 02:30:00,BUY,1.02979,1.029735,-4.179999999993633,Stop Loss,32
2025-01-14 18:45:00,2025-01-15 01:30:00,BUY,1.02986,1.0298221428571428,-3.1421428571476446,Stop Loss,27
2025-01-14 19:00:00,2025-01-15 00:00:00,BUY,1.02971,1.0299535714285715,23.626428571441814,Stop Loss,20
2025-01-14 19:15:00,2025-01-15 00:00:00,BUY,1.03005,1.030005,-4.679999999984475,Stop Loss,19
2025-01-14 19:30:00,2025-01-15 00:00:00,BUY,1.03029,1.0300514285714286,-26.719999999986754,Stop Loss,18
2025-01-14 20:15:00,2025-01-15 00:00:00,BUY,1.03067,1.0301335714285713,-68.1264285714398,Stop Loss,15
2025-01-14 20:30:00,2025-01-14 23:45:00,BUY,1.0305,1.0302014285714285,-42.39714285715035,Stop Loss,13
